Rank (PTS),Image URL,ESPN URL,Name,College,Position,GP,MIN,PTS,FGM,FGA,FGPct,3PM,3PA,3PPct,FTM,FTA,FTPct,REB,AST,STL,BLK,TO
153,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2579.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4710770/meechie-johnson,Meechie Johnson,SC,G,27,31.2,17.1,5,11.8,42,1.8,5.3,33.3,5.4,6.5,82.4,3.3,4.3,1.3,0.1,2.1
153,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/9.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5105457/maurice-odum,Maurice Odum,ASU,G,27,33.9,17.1,5.2,13.1,39.9,2.8,7.3,38.1,3.9,4.6,83.9,3,5.8,1.4,0,3.1
155,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/197.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4701189/anthony-roy,Anthony Roy,OKST,G,24,28.6,17,5.2,12,43.1,3.2,8,40.1,3.5,4.2,84,3.8,1.4,0.6,0.3,1.5
156,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2427.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4704109/justin-wright,Justin Wright,UNCA,G,28,32.4,17,6,12.6,48,1.5,3.9,37.6,3.5,4.4,79.7,3,3,1.3,0.1,2.4
157,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2515.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4873143/del-jones,Del Jones,RAD,G,29,31.5,17,5.7,13.6,42,1.3,4.2,31.1,4.3,5.2,81.6,3.7,3.5,1,0.2,3
157,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2692.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5313292/tijan-saine-jr,Tijan Saine Jr.,WEB,G,29,32.3,17,5.1,11.3,44.7,1.6,4.4,35.2,5.3,6,89.6,2.3,4.4,1.1,0,1.8
159,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2900.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5060721/nick-janowski,Nick Janowski,STMN,G,29,31.6,16.9,6.2,12.1,51.4,1.9,5.3,35.9,2.6,3.9,64.9,5.2,2,0.7,0.1,1.3
160,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/113.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4897361/marcus-banks-jr,Marcus Banks Jr.,MASS,G,28,32.6,16.9,5.7,13.2,43.4,3.5,8.8,39.6,2,2.5,80.3,2.6,1.8,1.3,0.1,1.3
161,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2458.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5107858/brock-wisne,Brock Wisne,UNCO,F,27,32.4,16.9,7,11.9,58.6,1,2.6,36.6,2,2.7,75.3,6.5,2.8,0.7,0.4,2.3
162,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/333.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4684276/aden-holloway,Aden Holloway,ALA,G,23,28.3,16.9,5.4,11.2,48.4,2.7,6.2,43.7,3.3,4,84.6,2.6,3.9,0.6,0,1.4
163,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2473.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5107377/brody-robinson,Brody Robinson,OAK,G,29,35.7,16.9,4.2,10.3,40.5,2.1,6,35.3,6.4,8.2,78.9,2.6,6.6,1.3,0,2.3
164,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/119.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5175148/tyler-tejada,Tyler Tejada,TOW,G,26,34.6,16.9,5.9,14,41.9,1.3,4.8,26.2,3.8,4.5,86.2,5.5,2.1,0.8,0.4,1.5
165,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/171.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5106236/kenny-noland,Kenny Noland,COLU,G,25,32.3,16.8,5.8,13,45.1,2.6,6.7,38.7,2.5,2.8,91.3,3.6,3.5,1.2,0,2.4
166,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/104.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5176039/michael-mcnair,Michael McNair,BU,G,29,35.7,16.8,5.7,11.8,48.1,3.3,7.2,45.7,2.1,2.9,72.9,5,2.1,1.1,0.4,1.3
167,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2377.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5144375/larry-johnson,Larry Johnson,MCN,G,28,23.7,16.8,6.1,11.6,52.1,0.7,2.6,26,4,5,79.9,5.1,1.5,0.9,0,1
168,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/195.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5107317/jackson-paveletzke,Jackson Paveletzke,OHIO,G,27,36.3,16.7,5.4,11.1,48.8,1,3,33.3,4.9,6.1,79.9,3,5.3,1,0,2.3
169,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2450.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5108049/anthony-mccomb-iii,Anthony McComb III,NORF,G,28,34,16.7,5,11.9,41.9,1.9,4.9,39.1,4.9,6.2,78.6,4.4,1.4,1.2,0.3,1.6
170,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/248.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5149077/kingston-flemings,Kingston Flemings,HOU,G,27,31.4,16.6,6.2,12.6,49,1.2,3.1,38.1,3.1,3.6,84.7,3.9,5.2,1.6,0.4,2
170,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/179.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5175657/darryl-simmons-ii,Darryl Simmons II,SBU,G,27,35.6,16.6,6,13.3,44.7,2.8,6.5,42.6,1.9,2.2,88.1,2,2.9,0.8,0,1.5
172,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/172.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5175900/jake-fiegen,Jake Fiegen,COR,G,20,25.5,16.6,5.9,11.1,53.4,2.1,5.3,40,2.7,3.4,80.6,5.2,2.2,0.9,0.4,1.1
173,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/164.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5175809/tariq-francis,Tariq Francis,RUTG,G,27,27,16.6,5.4,12.4,43.3,1.4,4.3,33,4.4,5,89.6,2.3,2.7,1,0,1.2
174,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/159.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5241721/kareem-thomas,Kareem Thomas,DART,G,23,29.5,16.6,4.6,10,45.7,1.8,4,45.7,5.6,6.9,81.1,3.1,1.6,0.5,0.3,2.4
175,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/225.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5106206/landon-lewis,Landon Lewis,BRWN,F,18,30.6,16.6,6.9,12.7,54.1,0.3,0.8,42.9,2.4,4.2,57.9,6.8,1.8,0.9,0.9,2.2
175,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2335.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5242130/brett-decker-jr,Brett Decker Jr.,LIB,G,27,32.7,16.6,5.7,11.2,50.8,3.3,6.8,48.1,1.9,2.3,83.6,2.6,1.1,0.4,0.2,0.7
177,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/261.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4685686/gus-yalden,Gus Yalden,UVM,F,26,25,16.5,6.4,12.2,52.2,1.3,3.7,34.4,2.5,3.5,71.4,5.8,2.3,0.4,0.5,1.6
178,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/198.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4683748/ty-harper,Ty Harper,ORU,G,28,28.6,16.5,5.2,13,40.2,1.8,5.6,31.4,4.4,5.2,83.6,3,2.4,0.9,0.1,2.6
179,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2747.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5175080/nils-machowski,Nils Machowski,WOF,G,29,33.1,16.5,5.4,12.6,42.7,2.7,7.2,37.5,3.1,3.8,80.2,5.7,2.6,0.7,0.5,1.8
180,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/43.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5107174/nick-townsend,Nick Townsend,YALE,F,24,32.8,16.5,5.5,10.6,51.8,1.6,3.1,50.7,3.9,5,78.3,7.6,4.2,1,0.2,2.5
181,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/153.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5105571/henri-veesaar,Henri Veesaar,UNC,C,25,30.8,16.5,6.4,10.4,61.9,1.2,2.8,44.3,2.4,3.8,62.1,8.8,2,0.6,1.3,1.6
182,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2390.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4837356/tre-donaldson,Tre Donaldson,MIA,G,27,34.1,16.4,5.9,12.9,45.3,1.5,4.6,33.1,3.2,4.1,77.7,3.6,5.9,1.3,0.2,2.1
182,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/248.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5106058/emanuel-sharp,Emanuel Sharp,HOU,G,27,29.4,16.4,5.1,12.2,42.1,2.7,7.2,37.9,3.4,3.9,87.6,3,1.9,1.2,0.1,0.9
184,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2541.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5176359/christian-hammond,Christian Hammond,SCU,G,28,29.7,16.4,6.1,12.1,50.1,1.6,4.1,40.4,2.6,3.4,78.7,3,2.4,1.3,0.1,1.7
185,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/66.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4870564/joshua-jefferson,Joshua Jefferson,ISU,F,27,31.6,16.4,5.5,11.5,47.7,1.1,3,37,4.3,6.2,69.6,7.6,5.3,1.4,0.9,2.6
186,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/279.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5240903/elias-ralph,Elias Ralph,PAC,F,30,34.1,16.4,5.7,12,47.5,1.6,3.9,41.5,3.4,3.8,87.8,6.7,1.9,0.8,1,2
187,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/202.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5174623/david-green,David Green,TLSA,F,28,26.5,16.4,5.8,11.4,50.5,1.9,4.9,38.7,3,4.5,66.7,4.5,1.5,0.6,0.7,1.3
187,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/6.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5313206/adam-olsen,Adam Olsen,USA,F,28,36.4,16.4,5.1,12.8,39.8,3.2,8.3,38.4,3.1,3.7,83.5,4.2,1,1.1,0.1,1
189,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2184.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5243000/tarence-guinyard,Tarence Guinyard,DUQ,G,26,32.8,16.4,5.3,11.1,47.4,2.3,5.9,38.3,3.6,5.2,69.4,3.3,5,1.2,0,2.2
190,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2506.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5175673/jonah-pierce,Jonah Pierce,PRES,F,29,32.7,16.3,6.6,11.7,56.8,0,0,0,3.1,5.4,57,9.4,1.3,0.9,1.4,3
191,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/112358.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5122836/jamal-fuller,Jamal Fuller,LIU,G,28,33.2,16.3,5.6,10.5,53.2,1.6,3.7,44.2,3.5,4.7,75.6,5.3,2.6,1.1,0.9,2.1
192,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/48.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5142618/christian-bliss,Christian Bliss,DEL,G,27,39.7,16.3,4.9,11.7,41.9,2.1,5.3,39.4,4.4,5.2,84.4,5.4,5.9,1.7,0.1,3.1
192,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/38.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5254159/isaiah-johnson,Isaiah Johnson,COLO,G,27,29.8,16.3,4.9,10.1,48.2,1.7,4.4,37.8,4.8,6,80.7,2.7,2.7,1,0,1.4
194,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2320.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5313558/rob-lee-jr,Rob Lee Jr.,LAM,G,28,27.7,16.2,5.6,12.3,45.2,2.4,5.7,42.8,2.6,3.2,82.2,3.2,2.1,0.7,0.1,1.5
195,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2031.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4432589/johnathan-lawson,Johnathan Lawson,LR,G,29,36.8,16.2,5.2,13.2,39.3,2.6,7.3,35.1,3.2,3.9,83.2,4.1,4.1,1.7,0.6,1.8
196,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/242.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4702522/trae-broadnax,Trae Broadnax,RICE,G,27,30.7,16.2,5.5,12.5,44.2,1.3,4.1,32.1,3.8,4.8,79.8,5.3,3.4,1.3,0.3,2.3
197,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2514.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5242908/jaden-zimmerman,Jaden Zimmerman,QUIN,G,23,32.3,16.2,5.3,13.3,39.4,2,6,34.3,3.6,5.2,69.7,2.6,2.2,0.7,0.6,2.4
198,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/93.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5113534/javon-jackson,Javon Jackson,MUR,G,30,25.2,16.2,5.4,12.8,42.4,1.6,4.4,35.9,3.7,4.3,86.2,2.3,2.8,1.2,0.1,2.3
199,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2934.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4703106/dailin-smith,Dailin Smith,CSUB,G,26,28.9,16.2,4.3,12.5,34.3,1.4,5.2,26.7,6.2,7.8,80.2,2.4,0.8,1.2,0.2,1.7
200,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/256.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4685664/justin-mcbride,Justin McBride,JMU,F,27,27.4,16.1,5.8,11.6,49.7,1.3,3.3,40.4,3.3,4.1,79.3,5.6,1.4,0.4,0.7,1.8
201,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/48.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4917385/justyn-fernandez,Justyn Fernandez,DEL,G,24,37.2,16.1,5.7,12.6,44.9,2,5.3,38.3,2.8,3.1,88,5,2.2,1,0.5,3
202,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/269.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5144086/nigel-james-jr,Nigel James Jr.,MARQ,G,27,28.6,16.1,6.1,12.6,48.2,1.3,3.3,38.9,2.7,3.9,69.2,3.2,4.9,1.7,0.3,2.7
203,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/328.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5107864/mason-falslev,Mason Falslev,USU,G,27,31.4,16.1,5.9,11.1,52.8,1.4,3.3,41.6,3,4,75,5.6,2.9,2.1,0.3,1.5
203,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2698.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5179291/josh-smith,Josh Smith,WGA,G,27,27.1,16.1,5.4,13.9,38.8,2,5.9,34.8,3.3,4.6,71.8,1.9,2.1,0.9,0.2,1.3
205,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/58.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5313560/wes-enis,Wes Enis,USF,G,25,33.6,16,5.2,13.5,38.9,3.5,9.6,36.7,2,2.6,77.3,3.5,2.2,0.9,0.1,1.6
206,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/58.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5107251/izaiyah-nelson,Izaiyah Nelson,USF,F,27,27.5,16,5.7,9.7,58.6,0.2,1.4,16.2,4.4,6.3,70,10,1,1.6,1.6,1.4
206,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2000.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5241314/bradyn-hubbard,Bradyn Hubbard,ACU,F,27,27.9,16,5.3,12.9,41.1,1.4,4.3,31.9,4.1,5.2,78.6,4.7,1.7,2,0.1,2.3
208,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2771.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5314297/ernest-shelton,Ernest Shelton,MRMK,G,29,36.7,16,4.4,11.2,39.5,2.9,8.2,35.9,4.3,4.9,86.7,3,0.8,1.2,0.5,1
209,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2086.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5176517/michael-ajayi,Michael Ajayi,BUT,F,28,33.4,16,5.8,12.6,45.6,0.6,2.1,26.7,3.9,6.2,63.2,11.1,3.2,1.1,1,2.6
209,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/265.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5313054/ace-glass,Ace Glass,WSU,G,29,28.2,16,5.4,12,45.2,2.2,6,36.8,3,3.3,88.7,3.2,2.3,0.8,0.1,2.4
209,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2501.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5314722/joel-foxwell,Joel Foxwell,PORT,G,29,35.3,16,5.6,13.5,41.1,2.1,6.3,33.2,2.8,3.5,80.2,4,6.8,1.5,0.1,3.3
212,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/179.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5107180/frank-mitchell,Frank Mitchell,SBU,F,27,33.1,16,6.8,12.4,54.8,0,0.1,0,2.4,3.7,65.7,9.9,3,1.4,0.6,2.7
212,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2636.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5111919/jamir-simpson,Jamir Simpson,UTSA,G,27,34,16,5.5,14,39.1,1.8,6,30.2,3.2,4.3,73.5,4.1,2.1,0.9,0.1,1.9
214,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/322.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5243035/caleb-williams,Caleb Williams,LAF,G,29,32,15.9,5,12.9,39,2.5,7.3,34.4,3.3,3.8,87.4,3.5,3.3,0.6,0.1,2.2
214,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/290.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5312457/spudd-webb,Spudd Webb,GASO,G,29,32.4,15.9,5.2,10.2,51.2,1.1,3.6,32,4.4,5.5,79.9,4.9,2.6,1.8,0.8,1.8
216,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2427.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5176355/toyaz-solomon,Toyaz Solomon,UNCA,F,28,32.6,15.9,5.8,12.9,45.2,1,2.6,37,3.3,4.9,67.4,7.4,1.9,1.1,1.3,2
217,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2599.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5106262/zuby-ejiofor,Zuby Ejiofor,SJU,F,27,30,15.9,5,9.3,53.4,0.4,1.3,30.6,5.6,7.9,70.6,7.2,3.4,1.2,1.9,2.3
217,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/167.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5254338/jake-hall,Jake Hall,UNM,G,27,29.4,15.9,5.4,11,49.5,3.1,6.9,44.6,2,2.5,77.9,3.3,1.5,0.7,0,0.9
219,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/45.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4684443/rafael-castro,Rafael Castro,GW,F,21,25.9,15.9,5.8,9.1,63.9,0,0,0,4.3,6.5,66.2,9,1.6,1.9,1.5,1.5
220,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/276.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4704015/jalen-speer,Jalen Speer,MRSH,G,29,32.5,15.9,5.3,13.8,38.4,3,8,36.9,2.3,2.8,81.7,4.2,5.6,1.1,0.1,2.3
221,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/232.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5106754/jlynn-counter,Jlynn Counter,COFC,G,28,30.9,15.9,5.1,11,46.3,1,3,33.7,4.8,5.9,80.6,5.2,5.6,1.5,0.2,3
222,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2168.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5106599/javon-bennett,Javon Bennett,DAY,G,27,34.8,15.9,5.1,13.4,37.7,2.3,7,32.4,3.5,3.9,90.4,2.5,3,1.5,0.2,1.5
223,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2272.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5241590/terry-anderson,Terry Anderson,HPU,F,30,25.9,15.9,5.2,9.1,57.4,0.5,1.7,30,5,6.4,77.2,5.6,1.4,1.4,0.3,1.3
224,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/3101.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5105471/ethan-potter,Ethan Potter,UTU,F,29,30.8,15.9,6.3,10.8,58.5,0.1,0.6,18.8,3.1,4,78.4,7.9,1.8,0.8,0.9,1.2
225,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/258.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5311846/thijs-de-ridder,Thijs De Ridder,UVA,F,27,27.8,15.9,5.7,11.1,51.8,0.9,2.9,32.1,3.4,5,68.9,6.4,1.6,0.9,0.4,1.9
226,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2226.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5175058/devin-vanterpool,Devin Vanterpool,FAU,G,24,31.2,15.8,5.4,12.4,43.8,2.2,6.2,35.1,2.8,3.6,78.2,6.3,2.4,1.5,0.8,2.1
227,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/94.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5241674/dan-gherezgher,Dan Gherezgher,NKU,G,29,30.5,15.8,5.5,13.3,41.6,2.8,7.8,35.7,2,2.8,70.7,3.4,2.7,0.8,0.1,2.4
228,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2649.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5314225/leroy-blyden-jr,Leroy Blyden Jr.,TOL,G,27,33,15.8,5.2,11.8,44.3,2.3,5.6,41.1,3.1,3.6,84.7,3.6,4.2,1.7,0.3,1.9
229,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2443.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5108809/coleton-benson,Coleton Benson,UNO,G,28,33.8,15.8,4.6,11.6,40,2.9,7.4,38.6,3.6,4,91.9,2.9,1.6,0.6,0,1.8
